Block ID,X Center,Y Center,Z Center,X Size,Y Size,Z Size,Category,CYB5A,SOD1,CA2,RBP4,ALB,TF,CAT
1,0.0,0.0,0.0,50,50,50,False,-2.0121,,0.2536,1.209,-0.9595,0.321,1.6442
1,49.998999999999995,0.0,0.0,50,50,50,False,-2.0121,,0.2536,1.209,-0.9595,0.321,1.6442
1,0.0,49.998999999999995,0.0,50,50,50,False,-2.0121,,0.2536,1.209,-0.9595,0.321,1.6442
1,49.998999999999995,49.998999999999995,0.0,50,50,50,False,-2.0121,,0.2536,1.209,-0.9595,0.321,1.6442
1,0.0,0.0,49.998999999999995,50,50,50,False,-2.0121,,0.2536,1.209,-0.9595,0.321,1.6442
1,49.998999999999995,0.0,49.998999999999995,50,50,50,False,-2.0121,,0.2536,1.209,-0.9595,0.321,1.6442
1,0.0,49.998999999999995,49.998999999999995,50,50,50,False,-2.0121,,0.2536,1.209,-0.9595,0.321,1.6442
1,49.998999999999995,49.998999999999995,49.998999999999995,50,50,50,False,-2.0121,,0.2536,1.209,-0.9595,0.321,1.6442
46,0.0,0.0,50.0,50,50,50,False,0.0699,,-1.6638,-0.3392,3.1781,,-1.8045
46,49.998999999999995,0.0,50.0,50,50,50,False,0.0699,,-1.6638,-0.3392,3.1781,,-1.8045
46,0.0,49.998999999999995,50.0,50,50,50,False,0.0699,,-1.6638,-0.3392,3.1781,,-1.8045
46,49.998999999999995,49.998999999999995,50.0,50,50,50,False,0.0699,,-1.6638,-0.3392,3.1781,,-1.8045
46,0.0,0.0,99.999,50,50,50,False,0.0699,,-1.6638,-0.3392,3.1781,,-1.8045
46,49.998999999999995,0.0,99.999,50,50,50,False,0.0699,,-1.6638,-0.3392,3.1781,,-1.8045
46,0.0,49.998999999999995,99.999,50,50,50,False,0.0699,,-1.6638,-0.3392,3.1781,,-1.8045
46,49.998999999999995,49.998999999999995,99.999,50,50,50,False,0.0699,,-1.6638,-0.3392,3.1781,,-1.8045
91,0.0,0.0,100.0,50,50,50,False,-0.0345,0.2311,-0.2354,,2.326,,1.1976
91,49.998999999999995,0.0,100.0,50,50,50,False,-0.0345,0.2311,-0.2354,,2.326,,1.1976
91,0.0,49.998999999999995,100.0,50,50,50,False,-0.0345,0.2311,-0.2354,,2.326,,1.1976
91,49.998999999999995,49.998999999999995,100.0,50,50,50,False,-0.0345,0.2311,-0.2354,,2.326,,1.1976
91,0.0,0.0,149.999,50,50,50,False,-0.0345,0.2311,-0.2354,,2.326,,1.1976
91,49.998999999999995,0.0,149.999,50,50,50,False,-0.0345,0.2311,-0.2354,,2.326,,1.1976
91,0.0,49.998999999999995,149.999,50,50,50,False,-0.0345,0.2311,-0.2354,,2.326,,1.1976
91,49.998999999999995,49.998999999999995,149.999,50,50,50,False,-0.0345,0.2311,-0.2354,,2.326,,1.1976
136,0.0,0.0,150.0,50,50,50,False,-1.3813,0.4729,-1.5351,,2.8859,1.0789,-1.3417
136,49.998999999999995,0.0,150.0,50,50,50,False,-1.3813,0.4729,-1.5351,,2.8859,1.0789,-1.3417
136,0.0,49.998999999999995,150.0,50,50,50,False,-1.3813,0.4729,-1.5351,,2.8859,1.0789,-1.3417
136,49.998999999999995,49.998999999999995,150.0,50,50,50,False,-1.3813,0.4729,-1.5351,,2.8859,1.0789,-1.3417
136,0.0,0.0,199.999,50,50,50,False,-1.3813,0.4729,-1.5351,,2.8859,1.0789,-1.3417
136,49.998999999999995,0.0,199.999,50,50,50,False,-1.3813,0.4729,-1.5351,,2.8859,1.0789,-1.3417
136,0.0,49.998999999999995,199.999,50,50,50,False,-1.3813,0.4729,-1.5351,,2.8859,1.0789,-1.3417
136,49.998999999999995,49.998999999999995,199.999,50,50,50,False,-1.3813,0.4729,-1.5351,,2.8859,1.0789,-1.3417
10,0.0,50.0,0.0,50,50,50,False,-2.1555,0.1889,0.5189,,2.0262,,-1.356
10,49.998999999999995,50.0,0.0,50,50,50,False,-2.1555,0.1889,0.5189,,2.0262,,-1.356
10,0.0,99.999,0.0,50,50,50,False,-2.1555,0.1889,0.5189,,2.0262,,-1.356
10,49.998999999999995,99.999,0.0,50,50,50,False,-2.1555,0.1889,0.5189,,2.0262,,-1.356
10,0.0,50.0,49.998999999999995,50,50,50,False,-2.1555,0.1889,0.5189,,2.0262,,-1.356
10,49.998999999999995,50.0,49.998999999999995,50,50,50,False,-2.1555,0.1889,0.5189,,2.0262,,-1.356
10,0.0,99.999,49.998999999999995,50,50,50,False,-2.1555,0.1889,0.5189,,2.0262,,-1.356
10,49.998999999999995,99.999,49.998999999999995,50,50,50,False,-2.1555,0.1889,0.5189,,2.0262,,-1.356
55,0.0,50.0,50.0,50,50,50,False,-0.6969,1.9692,0.1155,0.5722,-1.6409,2.9677,
55,49.998999999999995,50.0,50.0,50,50,50,False,-0.6969,1.9692,0.1155,0.5722,-1.6409,2.9677,
55,0.0,99.999,50.0,50,50,50,False,-0.6969,1.9692,0.1155,0.5722,-1.6409,2.9677,
55,49.998999999999995,99.999,50.0,50,50,50,False,-0.6969,1.9692,0.1155,0.5722,-1.6409,2.9677,
55,0.0,50.0,99.999,50,50,50,False,-0.6969,1.9692,0.1155,0.5722,-1.6409,2.9677,
55,49.998999999999995,50.0,99.999,50,50,50,False,-0.6969,1.9692,0.1155,0.5722,-1.6409,2.9677,
55,0.0,99.999,99.999,50,50,50,False,-0.6969,1.9692,0.1155,0.5722,-1.6409,2.9677,
55,49.998999999999995,99.999,99.999,50,50,50,False,-0.6969,1.9692,0.1155,0.5722,-1.6409,2.9677,
100,0.0,50.0,100.0,50,50,50,False,-0.5316,,-0.3054,1.6261,,1.6412,-0.8292
100,49.998999999999995,50.0,100.0,50,50,50,False,-0.5316,,-0.3054,1.6261,,1.6412,-0.8292
100,0.0,99.999,100.0,50,50,50,False,-0.5316,,-0.3054,1.6261,,1.6412,-0.8292
100,49.998999999999995,99.999,100.0,50,50,50,False,-0.5316,,-0.3054,1.6261,,1.6412,-0.8292
100,0.0,50.0,149.999,50,50,50,False,-0.5316,,-0.3054,1.6261,,1.6412,-0.8292
100,49.998999999999995,50.0,149.999,50,50,50,False,-0.5316,,-0.3054,1.6261,,1.6412,-0.8292
100,0.0,99.999,149.999,50,50,50,False,-0.5316,,-0.3054,1.6261,,1.6412,-0.8292
100,49.998999999999995,99.999,149.999,50,50,50,False,-0.5316,,-0.3054,1.6261,,1.6412,-0.8292
145,0.0,50.0,150.0,50,50,50,False,-1.3084,1.0089,0.9654,-1.1258,-2.9039,,1.719
145,49.998999999999995,50.0,150.0,50,50,50,False,-1.3084,1.0089,0.9654,-1.1258,-2.9039,,1.719
145,0.0,99.999,150.0,50,50,50,False,-1.3084,1.0089,0.9654,-1.1258,-2.9039,,1.719
145,49.998999999999995,99.999,150.0,50,50,50,False,-1.3084,1.0089,0.9654,-1.1258,-2.9039,,1.719
145,0.0,50.0,199.999,50,50,50,False,-1.3084,1.0089,0.9654,-1.1258,-2.9039,,1.719
145,49.998999999999995,50.0,199.999,50,50,50,False,-1.3084,1.0089,0.9654,-1.1258,-2.9039,,1.719
